,created_datetime,last_modified_datetime,product_name,generic_name,quantity,serving_size,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,main_category_en,energy_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,omega-9-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g
336413,2016-05-09 19:28:34+00:00,2016-05-21 19:20:47+00:00,Courmayeur,Eau minérale naturelle,"6 * 1,5 l",,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
349917,2016-07-12 08:50:13+00:00,2016-07-28 06:49:42+00:00,Basic Zout,zout,500 g,2 g,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
349952,2015-11-29 15:32:30+00:00,2015-11-30 10:09:24+00:00,Concentré Saveur Pomme Cranberry Zéro,"Préparation aromatisée pour boissons rafraîchissantes gazéifiées, avec édulcorants",500 ml,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
350008,2016-11-05 08:28:25+00:00,2017-02-06 12:45:59+00:00,Weer & wind thee,Kruidenthee melange,"30 g, 15 x 2g",,b,unknown,unknown,,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
350050,2015-05-30 12:27:55+00:00,2015-05-31 08:31:27+00:00,Soda Mix Concentré Cola sans sucres,"Préparation aromatisée pour boissons rafraîchissantes gazéifiées, avec édulcorants",500 ml,,b,Beverages,Artificially sweetened beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
350905,2017-08-21 05:41:41+00:00,2017-08-21 05:46:38+00:00,씨그램,씨그램 탄산수,350ml,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
351431,2014-08-31 12:09:49+00:00,2014-09-01 19:23:04+00:00,Ginger from Fresh Rhizomes,Ginger,200g,15g,b,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
352693,2014-03-04 15:13:01+00:00,2017-03-26 12:48:08+00:00,Bad Ischler Kristallsalz fein und jodiert,Bad Ischler Kristallsalz fein und jodiert,500g,,c,unknown,unknown,Groceries,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
353431,2016-12-11 15:23:39+00:00,2017-04-21 11:20:39+00:00,Oxygizer,Eau de boisson enrichie en oxygène.,500 ml,,a,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
355651,2017-04-17 11:17:21+00:00,2017-05-17 06:18:36+00:00,Jabal Akhdar Pure Natural Water,Water,500ml,,b,Beverages,Non-sugared beverages,Beverages,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0
